(ee582a8bc0, 40913290b26)
(57f57261f41, 3f7e70db50a)
(7db76204b55, 3ddc4b17811)
(a97c75a52e, 55a95f28145)
(334dc62c880, 5e6feeace68)
(59f6f4ea636, 55a95f28145)
(21d80adfea8, 5e5bb94b3f7)
(68ecf5bf37c, 98ad612884)
(8b853028d41, 55a95f28145)
(7c35cd3a2c6, 40913290b26)
(557413f715b, 3b1b365ac84)
(7dafa6cf7, 855f31c2e7f)
(6f8ed59de66, 70d52c36524)
(1a2d067bb43, 71ecb33b0c9)
(53165d9343d, a0e2798577)
(1f5209e6d6b, 19724f8ac8f)
(15f10215930, 36dd686ddea)
(32d0aa0246a, 70d52c36524)
(55970bb8874, 8fb2c1227ba)
(b79b403967, 8fb2c1227ba)
(6525daecfce, 6694ffa58d3)
(14a7f2ed9fd, 76ba312ca1f)
(44d69324cc3, 112874a1372)
(8edca059cc4, 37f3994c29f)
(648c6b97902, 5b786e3871a)
(3a11d925abe, 7e14a7dbe6b)
(74caf07fbc, 865a814c263)
(413610c0d76, 243d7df2bed)
(c59ed000ba, 40913290b26)
(12e9878ae31, 76ba312ca1f)
(4cc46767d47, 98ad612884)
(315e463244f, 36dd686ddea)
(715088ed39e, 3ddc4b17811)
(4d0a2106d9, 7eb73a80fe)
(3765caa58c8, 855f31c2e7f)
(2102bc20baf, 2464f5b91f8)
(3b245d85, 5e6feeace68)
(22235985fd1, 7e14a7dbe6b)
(8b1f514be07, 98ad612884)
(23555d9ccc2, 61cb8a37fd)
(1b7c1ac414b, 98ad612884)
(17819c7b4f8, 5e6feeace68)
(287199acc9a, 224238aea3f)
(102b18d0a0b, 8fb2c1227ba)
(2ae9e003e70, 36dd686ddea)
(1aefba10993, 40913290b26)
(4aa2d07f726, 3ddc4b17811)
(85a26e01f98, 55a95f28145)
(36aa45778d2, 7eb73a80fe)
(16c2d702c93, 70d52c36524)
(5f53d41265e, 2464f5b91f8)
(7f73c48db67, 112874a1372)
(62c73b9b608, 5e6feeace68)
(5bdc24a89a4, 639a1cd3499)
(103c24fd61f, 5b786e3871a)
(4c01c614587, 55a95f28145)
(1b75a7027f3, 5b786e3871a)
(2355cd80b48, 3ddc4b17811)
(18f62ce9082, 70d52c36524)
(6b50448b5d3, 71ecb33b0c9)
(5edda1c2bcb, 855f31c2e7f)
(5a9f07c0c6d, 7e14a7dbe6b)
(4e041f89e85, 2464f5b91f8)
(55cca4211db, 621e8c62fb5)
(5da75648e, 2464f5b91f8)
(1c0647cc4b9, 6d7777bed91)
(3d7547b9882, 19724f8ac8f)
(8d5c8772e66, 6694ffa58d3)
(4df243a4c70, 224238aea3f)
(27f9d53de51, 70d52c36524)
(8988f43650b, 6694ffa58d3)
(42fbe6d413b, 3b1b365ac84)
(3acdcbc9f96, 855f31c2e7f)
(c17f1843ce, 76ba312ca1f)
(d4af33a802, 55a95f28145)
(866c8f77c66, 71ecb33b0c9)
(8a949f4f772, 40913290b26)
(ae9596b9b6, 639a1cd3499)
(8d967d54e2b, 7e14a7dbe6b)
(51a00dfba5c, 4feee8311d3)
(32f4f247998, 6694ffa58d3)
(88ef0203a7d, 855f31c2e7f)
(720cae77bfd, 19724f8ac8f)
(753c24ac121, 6d7777bed91)
(1b8ed40b83a, 7eb73a80fe)
(73134d3fc8a, 621e8c62fb5)
(6b314ea6200, 3ddc4b17811)
(35f23422a2b, 6694ffa58d3)
(256bf1c51ef, 3b1b365ac84)
(d56f03b9ca, 7eb73a80fe)
(cdacb5643b, 2464f5b91f8)
(15fad6954e7, 55a95f28145)
(59be6aefee2, 865a814c263)
(42f85d73f14, 621e8c62fb5)
(1b3598fdd10, 76ba312ca1f)
(137945e49e, 865a814c263)
(5611347b541, 3ddc4b17811)
(14711967fc4, 3b1b365ac84)
(54b922b6d8b, 112874a1372)
(4a5fd8228ae, 19724f8ac8f)
(7ed85c4627e, 70d52c36524)
(41f7b983c94, 71ecb33b0c9)
(13599e016aa, 5b786e3871a)
(552d8fe3cf2, 6694ffa58d3)
(24c1b4d17ac, 4feee8311d3)
(6dc00e9deb9, 243d7df2bed)
(4d51d0ceac0, 76ba312ca1f)
(2e730193113, 6d7777bed91)
(7e4fd9f9113, 36dd686ddea)
(27d478ceb21, 3ddc4b17811)
(53bec91920a, 28ff7c1768b)
(32dedc63ce8, 3f7e70db50a)
(b3d8dc96cf, 4feee8311d3)
(6a15269b13a, 40913290b26)
(80b90da5ab5, 3b1b365ac84)
(6353846c9fb, 5b786e3871a)
(4fc2265f090, 19724f8ac8f)
(623c05772a1, 3ddc4b17811)
(90b11db6fac, 76ba312ca1f)
(31cb463935f, 639a1cd3499)
(520d2f223c2, 621e8c62fb5)
(5ce685001ad, 7e14a7dbe6b)
(1448843ca53, 5b786e3871a)
(1064954b0ca, 28ff7c1768b)
(70c58ed7b7e, 639a1cd3499)
(7714c0cc1b2, 37f3994c29f)
(5fa5c9df2a2, 243d7df2bed)
(498cef4be5a, 7eb73a80fe)
(23763700546, 5e6feeace68)
(6606d87ae7c, 243d7df2bed)
(20643472459, a0e2798577)
(40cfa3c58e0, 7e14a7dbe6b)
(67e06a42106, 3ddc4b17811)
(71484cb9bbb, 7eb73a80fe)
(faa6ebedf8, 37f3994c29f)
(107cd65a73b, 3b1b365ac84)
(f0d4b24105, 5e5bb94b3f7)
(6049d59bd1b, 3ddc4b17811)
(5fb87ca2af1, 19724f8ac8f)
(6837db77b5a, a0e2798577)
(8469e4ecdd8, 243d7df2bed)
(28fbecfde84, 37f3994c29f)
(8e73c98217f, 4feee8311d3)
(4f0b88fa229, 6d7777bed91)
(49ade5fba8a, 112874a1372)
(1d60d5aac3d, 224238aea3f)
(6d14e28c941, 5e6feeace68)
(4c56d2c6cf3, 37f3994c29f)
(5df741aae51, 28ff7c1768b)
(8da6ac43ac4, 37f3994c29f)
(733a2350b6e, 243d7df2bed)
(711ac5a7e82, 7e14a7dbe6b)
(45ba8d52991, 865a814c263)
(62b2e1b463d, 6694ffa58d3)
(4abc0263792, 3b1b365ac84)
(3948dcc7611, 224238aea3f)
(4c11f7856f5, 621e8c62fb5)
(22dc7c9c13c, 639a1cd3499)
(91f51ad8b1, 112874a1372)
(5678a409354, a0e2798577)
(68ef45dd9a2, 36dd686ddea)
(2b51e6192fb, 61cb8a37fd)
(370f4f82b7a, 865a814c263)
(74ba8917d0, 855f31c2e7f)
(97f305983f, 224238aea3f)
(3cebcb9927e, 55a95f28145)
(874aa9c6935, 7eb73a80fe)
(6c8c77c49cf, 55a95f28145)
(768d67568ed, 5e6feeace68)
(8f6980564e5, 621e8c62fb5)
(2bd5c7c685d, 37f3994c29f)
(89e0f7e1501, 5b786e3871a)
(1717aa2dce, 6d7777bed91)
(28f6bf6e1df, 8fb2c1227ba)
(73cb54fc9aa, 639a1cd3499)
(7fe62feb40e, 70d52c36524)
(4d560b5b2a5, 5b786e3871a)
(417578dfc62, 98ad612884)
(56b6b2aaa65, 2464f5b91f8)
(6a889273b19, 36dd686ddea)
(1026e56644, 855f31c2e7f)
(42b957cd346, 36dd686ddea)
(684e9e360a3, 4feee8311d3)
(68adc5f1b81, 76ba312ca1f)
(32ad3e4a23f, 855f31c2e7f)
(7af769a2430, 7eb73a80fe)
(38a4d62247, 8fb2c1227ba)
(49ae1dbbbd1, 865a814c263)
(15cfed40175, 6694ffa58d3)
(2122f247860, 55a95f28145)
(2190cb636b0, 4feee8311d3)
(89271e236ac, a0e2798577)
(8f66a9b42a3, 112874a1372)
(2739e15e4c3, 224238aea3f)
(31b4e2d5bb, 3f7e70db50a)
(6832fc008f9, 7e14a7dbe6b)
(5aec25b5669, 621e8c62fb5)
(87afb2efb96, 70d52c36524)
(70e808e3879, 639a1cd3499)
(1dae3a4b1ad, a0e2798577)
(2a61f15fbe, 639a1cd3499)
(fd2a9af8a3, 76ba312ca1f)
(3f4fbb6a462, 855f31c2e7f)
(4fb1568a957, 19724f8ac8f)
(391da236404, 621e8c62fb5)
(5ae38230cc, 4feee8311d3)
(4fdd17bd695, 112874a1372)
(37b29bcd8ce, 4feee8311d3)
(1a118e77333, 865a814c263)
(76301036460, 37f3994c29f)
(83ca39fe211, 3b1b365ac84)
(84647efb28b, 70d52c36524)
(444b0ca35e3, 61cb8a37fd)
(301db5ced84, 243d7df2bed)
(eeff3906c8, 71ecb33b0c9)
(63dd183c9bf, 639a1cd3499)
(3e3f4d3cc06, 61cb8a37fd)
(37a76046efa, 19724f8ac8f)
(3fbec6c7eee, 76ba312ca1f)
(626537b319e, 5b786e3871a)
(200c824936e, 36dd686ddea)
(490271446d4, 639a1cd3499)
(3a0a6040c10, 621e8c62fb5)
(63372b9b248, 6d7777bed91)
(5b4c6112c73, 639a1cd3499)
(1ce48c64d58, 7eb73a80fe)
(38d887eec22, 639a1cd3499)
(b2611b99a9, 8fb2c1227ba)
(122e5e32497, 71ecb33b0c9)
(7e7da96265e, 621e8c62fb5)
(891676f093, 224238aea3f)
(25789489ed, 37f3994c29f)
(15f2e374fd3, 76ba312ca1f)
(7370e345d74, 3f7e70db50a)
(3d188d315c5, 7e14a7dbe6b)
(47fddacd364, 40913290b26)
(3b593c57b2, 36dd686ddea)
(67fe344a17d, 639a1cd3499)
(e3fc0634e9, 6694ffa58d3)
(6851c0d347b, 3ddc4b17811)
(33b74bc2f55, 4feee8311d3)
(76c3208849b, 5b786e3871a)
(1a83f0b3de2, 7eb73a80fe)
(36ad7487f83, 639a1cd3499)
(42fdaec8b7, 71ecb33b0c9)
(6e40315d8b, 3f7e70db50a)
(a94a8c19ea, 7eb73a80fe)
(7d44360d872, 3ddc4b17811)
(5ad426763cf, 19724f8ac8f)
(432d808815f, 19724f8ac8f)
(7b7b2ad4ae, 40913290b26)
(1673d96fe31, 865a814c263)
(efda20b76f, 2464f5b91f8)
(6b36187b8e, 55a95f28145)
(7231be03fec, 639a1cd3499)
(35ea2aab066, 855f31c2e7f)
(3b9c0d4f383, 40913290b26)
(adb96caaab, 8fb2c1227ba)
(5ed3afe4ef0, 6d7777bed91)
(6f861fe2ae5, 7eb73a80fe)
(66c03a56b37, 36dd686ddea)
(7d1990205f8, 40913290b26)
(64afdea5036, 37f3994c29f)
(7d5b900e5b7, 3b1b365ac84)
(2b53b24af21, 224238aea3f)
(169e8963cfc, 3ddc4b17811)
(1f706d90508, 5e6feeace68)
(28852f9c069, 36dd686ddea)
(52f70080e10, 3f7e70db50a)
(e3c45d1e53, 639a1cd3499)
(4b716cca677, 3ddc4b17811)
(45b16488f39, 6694ffa58d3)
(95aacaca10, 98ad612884)
(3ea442d52b9, 55a95f28145)
(2734d39179b, 639a1cd3499)
(2a319d30f82, 4feee8311d3)
(40e9172d050, 7eb73a80fe)
(7c846e8b6f1, 37f3994c29f)
(6dfef7f8c5d, 5e5bb94b3f7)
(9023d9e97f8, a0e2798577)
(40b94ac41c2, 855f31c2e7f)
(2154991ce85, 7e14a7dbe6b)
(3c87f9c4f6, 71ecb33b0c9)
(497d5f347e7, 3f7e70db50a)
(610fffaa91f, 98ad612884)
(8a0b5ca1a77, 61cb8a37fd)
(585aed457df, 4feee8311d3)
(44a8ee54e54, 243d7df2bed)
(336cd7d89ae, 224238aea3f)
(9b91202601, 6d7777bed91)
(2df6e239f8f, 639a1cd3499)
(33ed7ba2519, 61cb8a37fd)
(1158e88d80e, 639a1cd3499)
(3edcbf02771, 3f7e70db50a)
(820f7f170f9, 70d52c36524)
(78a148e42d0, a0e2798577)
(65dac978397, 243d7df2bed)
(21bd3b28619, 55a95f28145)
(29c8ec2dcea, 5e5bb94b3f7)
(84bcc2fede, 855f31c2e7f)
(2d1f36ef533, 55a95f28145)
(1faab99ce69, 70d52c36524)
(8118565e921, 639a1cd3499)
(4535d48705c, a0e2798577)
(728f1745a7, 6694ffa58d3)
(24a63db9713, 98ad612884)
(3f02de4c506, 61cb8a37fd)
(747c182a488, 6694ffa58d3)
(7564fc3e443, 71ecb33b0c9)
(5f50ed5eb20, 855f31c2e7f)
